query_id,query_en,query_zh,query_type,pos_doc_id,pos_page_idx,neg_doc_id,neg_page_idx,neg_source,neg_score
auto_00024,Which page discusses '5 WORKING WITH FRANKA RESEARCH 3'?,哪一页介绍了“5 WORKING WITH FRANKA RESEARCH 3”相关内容？,fact,fr3_operating_manual,15,fr3_product_manual,4,vision_hard,18.25
auto_00027,"Which page discusses 'can then be used, for example, to stop t'?","哪一页介绍了“can then be used, for example, to stop t”相关内容？",fact,fr3_operating_manual,16,ur5e_user_manual,136,vision_hard,13.8125
auto_00029,Which page visually presents 'Exiting the Assist Mode:'?,哪一页展示了“Exiting the Assist Mode:”的图示页面？,layout,fr3_operating_manual,27,fr3_product_manual,136,vision_hard,15.625
auto_00036,Which page visually presents 'Guiding Mode'?,哪一页展示了“Guiding Mode”的图示页面？,layout,fr3_operating_manual,33,fr3_product_manual,140,vision_hard,14.75
auto_00041,Which page contains the specification value 1 s?,哪一页包含参数值 1 s？,fact,fr3_operating_manual,37,robotiq_hande_manual,4,vision_hard,10.5
auto_00060,Which page discusses 'MANAGINGFRANKARESEARCH 3'?,哪一页介绍了“MANAGINGFRANKARESEARCH 3”相关内容？,fact,fr3_operating_manual,51,fr3_product_manual,164,vision_hard,15.0
auto_00066,Which page visually presents '9.1.10'?,哪一页展示了“9.1.10”的图示页面？,layout,fr3_operating_manual,61,intel_realsense_d400_datasheet,4,vision_hard,13.0625
auto_00069,Which page discusses 'Estimation of externally applied torques'?,哪一页介绍了“Estimation of externally applied torques”相关内容？,fact,fr3_operating_manual,62,fr3_product_manual,153,vision_hard,12.6875
auto_00072,Which page discusses '10.3.3'?,哪一页介绍了“10.3.3”相关内容？,fact,fr3_operating_manual,67,fr3_product_manual,3,vision_hard,14.125
auto_00077,Which page discusses 'depend on previous operation and ambient'?,哪一页介绍了“depend on previous operation and ambient”相关内容？,fact,fr3_operating_manual,76,fr3_product_manual,28,vision_hard,11.625
auto_00097,Which page visually presents 'Description: Free editable description o'?,哪一页展示了“Description: Free editable description o”的图示页面？,layout,fr3_operating_manual,92,fr3_product_manual,114,vision_hard,13.3125
auto_00104,Which page visually presents 'now displayed in green and shows the val'?,哪一页展示了“now displayed in green and shows the val”的图示页面？,layout,fr3_operating_manual,102,fr3_product_manual,123,vision_hard,11.625
auto_00109,Which page discusses 'SERVICE AND SUPPORT'?,哪一页介绍了“SERVICE AND SUPPORT”相关内容？,fact,fr3_operating_manual,107,fr3_product_manual,5,vision_hard,13.5
auto_00116,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,3,ur5e_user_manual,42,vision_hard,11.375
auto_00117,Which page visually presents '10.2'?,哪一页展示了“10.2”的图示页面？,layout,fr3_product_manual,3,fr3_product_manual,60,vision_hard,12.8125
auto_00121,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,6,robotiq_2f_manual,4,vision_hard,8.9375
auto_00123,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,18,ur5e_user_manual,42,vision_hard,11.375
auto_00124,Which page visually presents 'DANGER'?,哪一页展示了“DANGER”的图示页面？,layout,fr3_product_manual,18,fr3_operating_manual,7,vision_hard,12.6875
auto_00125,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,20,ur5e_user_manual,42,vision_hard,11.375
auto_00126,Which page visually presents 'Unexpected motion'?,哪一页展示了“Unexpected motion”的图示页面？,layout,fr3_product_manual,20,fr3_operating_manual,12,vision_hard,12.75
auto_00127,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,21,ur5e_user_manual,42,vision_hard,11.375
auto_00128,Which page visually presents 'Unexpected movement of Arm'?,哪一页展示了“Unexpected movement of Arm”的图示页面？,layout,fr3_product_manual,21,fr3_product_manual,20,vision_hard,14.5
auto_00130,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,22,robotiq_2f_manual,4,vision_hard,8.9375
auto_00132,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,23,ur5e_user_manual,42,vision_hard,11.375
auto_00133,Which page visually presents 'Stopping time and distance'?,哪一页展示了“Stopping time and distance”的图示页面？,layout,fr3_product_manual,23,fr3_product_manual,5,vision_hard,14.3125
auto_00137,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,28,robotiq_2f_manual,4,vision_hard,8.875
auto_00146,What components topic is mainly explained on this page?,这页主要讲的是哪方面的组成部件内容？,semantic,fr3_product_manual,39,kinova_gen3_user_guide,75,vision_hard,10.9375
auto_00152,Which page visually presents 'Equipment Overview'?,哪一页展示了“Equipment Overview”的图示页面？,layout,fr3_product_manual,45,fr3_product_manual,44,vision_hard,12.5
auto_00156,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,49,ur5e_user_manual,42,vision_hard,11.375
auto_00158,Which page visually presents 'TECHNICAL SPECIFICATIONS'?,哪一页展示了“TECHNICAL SPECIFICATIONS”的图示页面？,layout,fr3_product_manual,49,fr3_product_manual,2,vision_hard,15.375
auto_00160,Which page mentions interface related specifications?,哪一页提到了接口相关参数？,fact,fr3_product_manual,50,kinova_gen3_user_guide,122,vision_hard,9.875
auto_00162,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,51,ur5e_user_manual,42,vision_hard,11.375
auto_00164,Which page visually presents 'TECHNICAL SPECIFICATIONS'?,哪一页展示了“TECHNICAL SPECIFICATIONS”的图示页面？,layout,fr3_product_manual,51,fr3_product_manual,2,vision_hard,15.3125
auto_00165,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,53,ur5e_user_manual,42,vision_hard,11.375
auto_00166,Which page visually presents 'TRANSPORT AND HANDLING'?,哪一页展示了“TRANSPORT AND HANDLING”的图示页面？,layout,fr3_product_manual,53,fr3_product_manual,2,vision_hard,13.8125
auto_00173,Which page discusses 'Adequate ventilation'?,哪一页介绍了“Adequate ventilation”相关内容？,fact,fr3_product_manual,62,fr3_product_manual,65,vision_hard,13.1875
auto_00176,Which page contains the specification value 280 Nm?,哪一页包含参数值 280 Nm？,fact,fr3_product_manual,64,robotiq_hande_manual,122,vision_hard,13.0625
auto_00178,What components topic is mainly explained on this page?,这页主要讲的是哪方面的组成部件内容？,semantic,fr3_product_manual,65,kinova_gen3_user_guide,75,vision_hard,10.9375
auto_00184,Which page contains the specification value 30 Nm?,哪一页包含参数值 30 Nm？,fact,fr3_product_manual,67,robotiq_2f_manual,125,vision_hard,12.8125
auto_00187,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,69,ur5e_user_manual,42,vision_hard,11.375
auto_00188,Which page visually presents '10.6 Wiring and Electrical Installation'?,哪一页展示了“10.6 Wiring and Electrical Installation”的图示页面？,layout,fr3_product_manual,69,fr3_product_manual,3,vision_hard,14.4375
auto_00189,Which page visually presents '10.6.1 Connection diagram'?,哪一页展示了“10.6.1 Connection diagram”的图示页面？,layout,fr3_product_manual,70,fr3_product_manual,3,vision_hard,15.1875
auto_00194,Which page contains the specification value 48V?,哪一页包含参数值 48V？,fact,fr3_product_manual,72,robotiq_2f_manual,126,vision_hard,11.5625
auto_00193,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,72,robotiq_2f_manual,4,vision_hard,8.9375
auto_00195,Which page mentions the emergency stop entry?,哪一页提到了紧急停止相关条目？,navigation,fr3_product_manual,74,ur5e_user_manual,183,vision_hard,13.0625
auto_00196,Which page contains navigation information about '10.6.4 Wiring'?,哪一页包含“10.6.4 Wiring”这类导航信息？,navigation,fr3_product_manual,74,fr3_product_manual,3,vision_hard,15.0
auto_00203,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,78,ur5e_user_manual,42,vision_hard,11.375
auto_00204,Which page visually presents 'device to the X3 connector.'?,哪一页展示了“device to the X3 connector.”的图示页面？,layout,fr3_product_manual,78,fr3_product_manual,43,vision_hard,14.6875
auto_00205,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,79,ur5e_user_manual,42,vision_hard,11.375
auto_00206,Which page visually presents 'does not adhere to electrical ratings.'?,哪一页展示了“does not adhere to electrical ratings.”的图示页面？,layout,fr3_product_manual,79,fr3_product_manual,77,vision_hard,12.5
auto_00207,Which page mentions the emergency stop entry?,哪一页提到了紧急停止相关条目？,navigation,fr3_product_manual,80,ur5e_user_manual,183,vision_hard,13.0625
auto_00208,Which page contains navigation information about 'depends on the end effector and includes'?,哪一页包含“depends on the end effector and includes”这类导航信息？,navigation,fr3_product_manual,80,ur5e_user_manual,92,vision_hard,14.1875
auto_00209,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,82,ur5e_user_manual,42,vision_hard,11.375
auto_00210,Which page visually presents 'Fig. 10.27: Design of the workspace'?,哪一页展示了“Fig. 10.27: Design of the workspace”的图示页面？,layout,fr3_product_manual,82,fr3_product_manual,81,vision_hard,17.375
auto_00211,Which page mentions the emergency stop entry?,哪一页提到了紧急停止相关条目？,navigation,fr3_product_manual,83,ur5e_user_manual,183,vision_hard,13.0625
auto_00212,Which page contains navigation information about 'Greatest possible distance to the Arm'?,哪一页包含“Greatest possible distance to the Arm”这类导航信息？,navigation,fr3_product_manual,83,fr3_operating_manual,78,vision_hard,12.3125
auto_00213,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,85,ur5e_user_manual,42,vision_hard,11.375
auto_00214,Which page visually presents '10.9 Re-packing the Arm'?,哪一页展示了“10.9 Re-packing the Arm”的图示页面？,layout,fr3_product_manual,85,fr3_product_manual,3,vision_hard,13.9375
auto_00238,Which page visually presents 'Safety configuration / Watchman'?,哪一页展示了“Safety configuration / Watchman”的图示页面？,layout,fr3_product_manual,115,fr3_operating_manual,4,vision_hard,15.5
auto_00240,What components topic is mainly explained on this page?,这页主要讲的是哪方面的组成部件内容？,semantic,fr3_product_manual,117,kinova_gen3_user_guide,75,vision_hard,10.9375
auto_00242,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,118,robotiq_2f_manual,4,vision_hard,8.9375
auto_00243,Which page discusses 'Safety configuration /Watchman'?,哪一页介绍了“Safety configuration /Watchman”相关内容？,fact,fr3_product_manual,118,fr3_operating_manual,4,vision_hard,15.5
auto_00250,Which page discusses 'Generating forces'?,哪一页介绍了“Generating forces”相关内容？,fact,fr3_product_manual,125,fr3_operating_manual,16,vision_hard,13.3125
auto_00253,Which page discusses '13.3.2 Execution'?,哪一页介绍了“13.3.2 Execution”相关内容？,fact,fr3_product_manual,130,fr3_product_manual,4,vision_hard,14.625
auto_00254,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,131,ur5e_user_manual,42,vision_hard,11.375
auto_00255,Which page visually presents 'Dangerous and uncontrolled motions of th'?,哪一页展示了“Dangerous and uncontrolled motions of th”的图示页面？,layout,fr3_product_manual,131,fr3_product_manual,18,vision_hard,16.875
auto_00262,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,143,ur5e_user_manual,42,vision_hard,11.375
auto_00263,Which page visually presents '13.6.1 Apps'?,哪一页展示了“13.6.1 Apps”的图示页面？,layout,fr3_product_manual,143,fr3_product_manual,4,vision_hard,14.6875
auto_00266,Which page contains the specification value 0 mm?,哪一页包含参数值 0 mm？,fact,fr3_product_manual,146,robotiq_hande_manual,91,vision_hard,12.4375
auto_00265,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,146,robotiq_2f_manual,4,vision_hard,8.9375
auto_00268,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,150,robotiq_2f_manual,4,vision_hard,8.9375
auto_00273,Which page visually presents '13.7 Franka Control Interface (FCl)'?,哪一页展示了“13.7 Franka Control Interface (FCl)”的图示页面？,layout,fr3_product_manual,153,fr3_product_manual,4,vision_hard,18.125
auto_00279,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,168,robotiq_2f_manual,4,vision_hard,8.9375
auto_00280,Which page discusses 'MANAGING FRANKA RESEARCH 3'?,哪一页介绍了“MANAGING FRANKA RESEARCH 3”相关内容？,fact,fr3_product_manual,168,fr3_product_manual,164,vision_hard,17.75
auto_00282,What components topic is mainly explained on this page?,这页主要讲的是哪方面的组成部件内容？,semantic,fr3_product_manual,170,kinova_gen3_user_guide,75,vision_hard,10.9375
auto_00284,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,172,robotiq_2f_manual,4,vision_hard,8.9375
auto_00285,Which page discusses 'SERVICE AND SUPPORT'?,哪一页介绍了“SERVICE AND SUPPORT”相关内容？,fact,fr3_product_manual,172,fr3_product_manual,5,vision_hard,13.5
auto_00292,Which page contains the specification value 42 ms?,哪一页包含参数值 42 ms？,fact,fr3_product_manual,196,ur5e_user_manual,107,vision_hard,10.9375
auto_00295,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,199,ur5e_user_manual,42,vision_hard,11.375
auto_00296,Which page visually presents 'GLOSSARY'?,哪一页展示了“GLOSSARY”的图示页面？,layout,fr3_product_manual,199,fr3_product_manual,5,vision_hard,12.25
auto_00298,Which page mentions interface related specifications?,哪一页提到了接口相关参数？,fact,fr3_product_manual,203,fr3_product_manual,50,vision_hard,10.125
auto_00300,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,205,ur5e_user_manual,42,vision_hard,11.375
auto_00302,Which page visually presents 'TABLE OF FIGURES'?,哪一页展示了“TABLE OF FIGURES”的图示页面？,layout,fr3_product_manual,205,fr3_operating_manual,5,vision_hard,14.625
auto_00304,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,206,robotiq_2f_manual,4,vision_hard,8.9375
auto_00305,Which page discusses 'TABLE OF FIGURES'?,哪一页介绍了“TABLE OF FIGURES”相关内容？,fact,fr3_product_manual,206,fr3_product_manual,5,vision_hard,14.875
auto_00307,Which page visually presents 'Description and Features'?,哪一页展示了“Description and Features”的图示页面？,layout,intel_realsense_d400_datasheet,2,intel_realsense_d400_datasheet,9,vision_hard,13.5
auto_00309,Which page visually presents '(intel)'?,哪一页展示了“(intel)”的图示页面？,layout,intel_realsense_d400_datasheet,3,intel_realsense_d400_datasheet,1,vision_hard,10.8125
auto_00310,Which page visually presents '(intel)'?,哪一页展示了“(intel)”的图示页面？,layout,intel_realsense_d400_datasheet,5,intel_realsense_d400_datasheet,1,vision_hard,10.8125
auto_00313,Which page visually presents 'Description and Features'?,哪一页展示了“Description and Features”的图示页面？,layout,intel_realsense_d400_datasheet,6,intel_realsense_d400_datasheet,2,vision_hard,13.625
auto_00316,Which page visually presents '(intel)'?,哪一页展示了“(intel)”的图示页面？,layout,intel_realsense_d400_datasheet,7,intel_realsense_d400_datasheet,1,vision_hard,10.8125
auto_00320,Which page mentions sensor related specifications?,哪一页提到了传感器相关参数？,fact,intel_realsense_d400_datasheet,9,kinova_gen3_user_guide,2,vision_hard,11.25
auto_00321,Which page discusses '(intel)'?,哪一页介绍了“(intel)”相关内容？,fact,intel_realsense_d400_datasheet,9,intel_realsense_d400_datasheet,1,vision_hard,10.625
auto_00324,Which page contains the specification value 0.3m?,哪一页包含参数值 0.3m？,fact,intel_realsense_d400_datasheet,10,kinova_gen3_user_guide,85,vision_hard,11.625
auto_00322,What specification about degrees of freedom is given on this page?,这页中关于自由度的参数是什么？,fact,intel_realsense_d400_datasheet,10,fr3_product_manual,49,vision_hard,15.5
auto_00323,Which page mentions degrees of freedom related specifications?,哪一页提到了自由度相关参数？,fact,intel_realsense_d400_datasheet,10,fr3_product_manual,49,vision_hard,11.75
auto_00325,What specification about degrees of freedom is given on this page?,这页中关于自由度的参数是什么？,fact,intel_realsense_d400_datasheet,11,fr3_product_manual,49,vision_hard,15.5
auto_00326,Which page mentions degrees of freedom related specifications?,哪一页提到了自由度相关参数？,fact,intel_realsense_d400_datasheet,11,fr3_product_manual,49,vision_hard,11.8125
auto_00330,Which page contains the specification value 20 mm?,哪一页包含参数值 20 mm？,fact,intel_realsense_d400_datasheet,12,intel_realsense_d400_datasheet,65,vision_hard,12.5
auto_00328,What specification about interface is given on this page?,这页中关于接口的参数是什么？,fact,intel_realsense_d400_datasheet,12,fr3_product_manual,72,vision_hard,12.625
auto_00333,Which page contains the specification value 28nm?,哪一页包含参数值 28nm？,fact,intel_realsense_d400_datasheet,17,intel_realsense_d400_datasheet,118,vision_hard,11.0625
auto_00338,Which page contains the specification value 0.9V?,哪一页包含参数值 0.9V？,fact,intel_realsense_d400_datasheet,22,intel_realsense_d400_datasheet,116,vision_hard,14.5625
auto_00345,Which page discusses 'Temperature (Short'?,哪一页介绍了“Temperature (Short”相关内容？,fact,intel_realsense_d400_datasheet,31,intel_realsense_d400_datasheet,51,vision_hard,10.625
auto_00348,Which page contains the specification value 55mm?,哪一页包含参数值 55mm？,fact,intel_realsense_d400_datasheet,32,intel_realsense_d400_datasheet,50,vision_hard,12.125
auto_00353,Which page contains the specification value 1.93mm?,哪一页包含参数值 1.93mm？,fact,intel_realsense_d400_datasheet,34,robotiq_hande_manual,91,vision_hard,12.9375
auto_00356,Which page contains the specification value 4.25W?,哪一页包含参数值 4.25W？,fact,intel_realsense_d400_datasheet,35,ur5e_user_manual,68,vision_hard,11.8125
auto_00358,Which page visually presents '3.6.4'?,哪一页展示了“3.6.4”的图示页面？,layout,intel_realsense_d400_datasheet,36,intel_realsense_d400_datasheet,37,vision_hard,12.3125
auto_00361,Which page discusses '(intel'?,哪一页介绍了“(intel”相关内容？,fact,intel_realsense_d400_datasheet,37,intel_realsense_d400_datasheet,1,vision_hard,9.75
auto_00363,Which page visually presents 'Table 3-26. Intel® RealSense Depth Modul'?,哪一页展示了“Table 3-26. Intel® RealSense Depth Modul”的图示页面？,layout,intel_realsense_d400_datasheet,39,intel_realsense_d400_datasheet,6,vision_hard,20.125
auto_00366,Which page discusses 'Intel® RealSense Vision Processor D4 Boa'?,哪一页介绍了“Intel® RealSense Vision Processor D4 Boa”相关内容？,fact,intel_realsense_d400_datasheet,40,intel_realsense_d400_datasheet,17,vision_hard,18.0
auto_00367,Which page contains the dimensions diagram?,哪一页包含尺寸图或尺寸示意？,layout,intel_realsense_d400_datasheet,41,robotiq_2f_manual,104,vision_hard,11.0625
auto_00368,Which page visually presents '3.7.1'?,哪一页展示了“3.7.1”的图示页面？,layout,intel_realsense_d400_datasheet,41,robotiq_hande_manual,30,vision_hard,13.625
auto_00369,Which page visually presents '(0) +44 (0) 1444 461620'?,哪一页展示了“(0) +44 (0) 1444 461620”的图示页面？,layout,intel_realsense_d400_datasheet,46,kinova_gen3_user_guide,132,vision_hard,16.625
auto_00374,Which page contains the specification value 1M?,哪一页包含参数值 1M？,fact,intel_realsense_d400_datasheet,48,intel_realsense_d400_datasheet,19,vision_hard,10.5625
auto_00376,Which page visually presents 'Figure 3-14. Intel® RealSense Depth Came'?,哪一页展示了“Figure 3-14. Intel® RealSense Depth Came”的图示页面？,layout,intel_realsense_d400_datasheet,50,intel_realsense_d400_datasheet,5,vision_hard,20.125
auto_00377,Which page discusses 'Minimum-Z Depth'?,哪一页介绍了“Minimum-Z Depth”相关内容？,fact,intel_realsense_d400_datasheet,59,intel_realsense_d400_datasheet,3,vision_hard,12.4375
auto_00380,Which page contains the specification value 4g?,哪一页包含参数值 4g？,fact,intel_realsense_d400_datasheet,67,ur5e_user_manual,6,vision_hard,10.3125
auto_00378,What specification about degrees of freedom is given on this page?,这页中关于自由度的参数是什么？,fact,intel_realsense_d400_datasheet,67,fr3_product_manual,49,vision_hard,15.5
auto_00379,Which page mentions degrees of freedom related specifications?,哪一页提到了自由度相关参数？,fact,intel_realsense_d400_datasheet,67,fr3_product_manual,49,vision_hard,11.8125
auto_00381,Which page visually presents 'The small size of the stereo depth modul'?,哪一页展示了“The small size of the stereo depth modul”的图示页面？,layout,intel_realsense_d400_datasheet,70,intel_realsense_d400_datasheet,77,vision_hard,14.5625
auto_00386,Which page visually presents 'Vision Processor D4 Board for Integrated'?,哪一页展示了“Vision Processor D4 Board for Integrated”的图示页面？,layout,intel_realsense_d400_datasheet,73,intel_realsense_d400_datasheet,75,vision_hard,16.625
auto_00391,Which page discusses 'Table 7-7. Vision Processor D4 Board - C'?,哪一页介绍了“Table 7-7. Vision Processor D4 Board - C”相关内容？,fact,intel_realsense_d400_datasheet,76,intel_realsense_d400_datasheet,75,vision_hard,20.125
auto_00392,What specification about torque is given on this page?,这页中关于力矩的参数是什么？,fact,intel_realsense_d400_datasheet,77,kinova_gen3_user_guide,128,vision_hard,12.9375
auto_00394,Which page discusses 'the thermocouple test location is any po'?,哪一页介绍了“the thermocouple test location is any po”相关内容？,fact,intel_realsense_d400_datasheet,77,ur5e_user_manual,219,vision_hard,11.9375
auto_00399,Which page contains the specification value 850nm?,哪一页包含参数值 850nm？,fact,intel_realsense_d400_datasheet,81,intel_realsense_d400_datasheet,35,vision_hard,12.9375
auto_00400,Which page visually presents 'Figure 7-16. Firmware Recovery Sequence'?,哪一页展示了“Figure 7-16. Firmware Recovery Sequence”的图示页面？,layout,intel_realsense_d400_datasheet,84,intel_realsense_d400_datasheet,83,vision_hard,18.25
auto_00403,What specification about interface is given on this page?,这页中关于接口的参数是什么？,fact,intel_realsense_d400_datasheet,93,fr3_product_manual,72,vision_hard,12.5625
auto_00405,Which page discusses 'Platform Design Guidelines'?,哪一页介绍了“Platform Design Guidelines”相关内容？,fact,intel_realsense_d400_datasheet,93,intel_realsense_d400_datasheet,4,vision_hard,14.5
auto_00407,Which page visually presents 'Mechanical Drawings'?,哪一页展示了“Mechanical Drawings”的图示页面？,layout,intel_realsense_d400_datasheet,103,intel_realsense_d400_datasheet,98,vision_hard,14.0625
auto_00411,Which page visually presents 'Connection'?,哪一页展示了“Connection”的图示页面？,layout,intel_realsense_d400_datasheet,112,kinova_gen3_user_guide,2,vision_hard,10.0
auto_00413,Which page visually presents 'Figure 12-1. Vision Processor D4 Laser P'?,哪一页展示了“Figure 12-1. Vision Processor D4 Laser P”的图示页面？,layout,intel_realsense_d400_datasheet,115,intel_realsense_d400_datasheet,117,vision_hard,19.875
auto_00415,Which page visually presents 'Figure 12-4. Vision Processor D4 VDD_PG '?,哪一页展示了“Figure 12-4. Vision Processor D4 VDD_PG ”的图示页面？,layout,intel_realsense_d400_datasheet,117,intel_realsense_d400_datasheet,6,vision_hard,20.5
auto_00418,Which page contains the specification value 0.005mm?,哪一页包含参数值 0.005mm？,fact,intel_realsense_d400_datasheet,118,robotiq_2f_manual,118,vision_hard,14.6875
auto_00419,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,kinova_gen3_user_guide,2,ur5e_user_manual,42,vision_hard,11.375
auto_00420,Which page contains the dimensions diagram?,哪一页包含尺寸图或尺寸示意？,layout,kinova_gen3_user_guide,2,robotiq_2f_manual,104,vision_hard,11.0625
auto_00421,Which page contains the schematic diagram?,哪一页包含结构/原理示意图？,layout,kinova_gen3_user_guide,2,kinova_gen3_user_guide,67,vision_hard,12.125
auto_00422,Which page describes safety related information?,哪一页介绍了安全说明相关内容？,semantic,kinova_gen3_user_guide,3,ur5e_user_manual,28,vision_hard,12.0625
